game_id,round,lock_local,home,away,home_odds,away_odds,line_fav,is_margin_game,p_home_override
R24G1,R24,Thu 20 Aug 19:30,St Kilda,Gold Coast,1.55,2.46,10.5,1,
R24G2,R24,Fri 21 Aug 19:40,Collingwood,Brisbane,3.34,1.33,20.5,0,
R24G3,R24,Sat 22 Aug 13:15,Carlton,Fremantle,2.3,1.6,8.5,0,
R24G4,R24,Sat 22 Aug 16:15,Melbourne,Western Bulldogs,1.37,3.10,18.5,0,
R24G5,R24,Sat 22 Aug 19:45,Geelong,Richmond,1.02,15.00,60.5,0,
R24G6,R24,Sat 22 Aug 20:10,Adelaide,GWS,1.32,3.42,21.5,0,
R24G7,R24,Sun 23 Aug 12:20,Essendon,Port Adelaide,3.01,1.39,17.5,0,
R24G8,R24,Sun 23 Aug 15:20,Sydney,North Melbourne,1.19,4.75,30.5,0,
R24G9,R24,Sun 23 Aug 19:20,West Coast,Hawthorn,6.70,1.11,39.5,0,
